,RED Light SNR/dB,GREEN Light SNR/dB,ROI color,ROI layer
0,13.487669616426768,12.520276849075927,RED,layer1
1,16.617960221194124,16.102646077268332,RED,layer2
2,17.544485878743053,17.768857632505622,RED,layer3
3,21.196398219375254,22.789404170159656,RED,layer4
4,12.444950144822219,15.61320324525185,GREEN,layer1
5,15.055935799909095,18.126757288701455,GREEN,layer2
6,16.989213521892687,19.24227089010436,GREEN,layer3
7,14.93543098425808,19.91323742268926,GREEN,layer4
8,12.42865839494498,12.676209644037208,BLACK,layer1
9,15.266034340176644,15.794876031559786,BLACK,layer2
10,16.165001597429562,16.655697858026734,BLACK,layer3
11,21.08619975012226,21.661721596038994,BLACK,layer4
